filename,document_name,risk_score,risk_band,num_risk_drivers
CybergyHoldingsInc_20140520_10-Q_EX-10.27_8605784_EX-10.27_Affiliate Agreement.pdf,MARKETING AFFILIATE AGREEMENT,0,Low Risk,0
EuromediaHoldingsCorp_20070215_10SB12G_EX-10.B(01)_525118_EX-10.B(01)_Content License Agreement.pdf,VIDEO-ON-DEMAND CONTENT LICENSE AGREEMENT,18,Low Risk,1
FulucaiProductionsLtd_20131223_10-Q_EX-10.9_8368347_EX-10.9_Content License Agreement.pdf,CONTENT DISTRIBUTION AND LICENSE AGREEMENT,43,Moderate Risk,2
GopageCorp_20140221_10-K_EX-10.1_8432966_EX-10.1_Content License Agreement.pdf,WEBSITE CONTENT LICENSE AGREEMENT,25,Low Risk,1
IdeanomicsInc_20160330_10-K_EX-10.26_9512211_EX-10.26_Content License Agreement.pdf,CONTENT LICENSE AGREEMENT,0,Low Risk,0
DeltathreeInc_19991102_S-1A_EX-10.19_6227850_EX-10.19_Co-Branding Agreement_ Service Agreement.pdf,CO-BRANDING AND SERVICES AGREEMENT,0,Low Risk,0
EdietsComInc_20001030_10QSB_EX-10.4_2606646_EX-10.4_Co-Branding Agreement.pdf,CO-BRANDING AGREEMENT,25,Low Risk,1
IntegrityMediaInc_20010329_10-K405_EX-10.17_2373875_EX-10.17_Co-Branding Agreement.pdf,PRODUCT DEVELOPMENT AND CO-BRANDING AGREEMENT,25,Low Risk,1
MusclepharmCorp_20170208_10-KA_EX-10.38_9893581_EX-10.38_Co-Branding Agreement.pdf,ENDORSEMENT LICENSING AND CO-BRANDING AGREEMENT,43,Moderate Risk,2
TomOnlineInc_20060501_20-F_EX-4.46_749700_EX-4.46_Co-Branding Agreement.pdf,CO-BRANDING AGREEMENT,18,Low Risk,1
ConformisInc_20191101_10-Q_EX-10.6_11861402_EX-10.6_Development Agreement.pdf,DEVELOPMENT AGREEMENT,25,Low Risk,1
EtonPharmaceuticalsInc_20191114_10-Q_EX-10.1_11893941_EX-10.1_Development Agreement.pdf,EXCLUSIVE LICENSE AND PRODUCT DEVELOPMENT AGREEMENT,43,Moderate Risk,2
FuelcellEnergyInc_20191106_8-K_EX-10.1_11868007_EX-10.1_Development Agreement.pdf,JOINT DEVELOPMENT AGREEMENT,18,Low Risk,1
ReedsInc_20191113_10-Q_EX-10.4_11888303_EX-10.4_Development Agreement.pdf,RECIPE DEVELOPMENT AGREEMENT,25,Low Risk,1
FuseMedicalInc_20190321_10-K_EX-10.43_11575454_EX-10.43_Distributor Agreement.pdf,Distributorship agreement,18,Low Risk,1
GentechHoldingsInc_20190808_1-A_EX1A-6 MAT CTRCT_11776814_EX1A-6 MAT CTRCT_Distributor Agreement.pdf,DISTRIBUTOR AGREEMENT,53,High Risk,3
ImineCorp_20180725_S-1_EX-10.5_11275970_EX-10.5_Distributor Agreement.pdf,NON-EXCLUSIVE DISTRIBUTOR AGREEMENT,0,Low Risk,0
InnerscopeHearingTechnologiesInc_20181109_8-K_EX-10.6_11419704_EX-10.6_Distributor Agreement.pdf,EXCLUSIVE DISTRIBUTOR AGREEMENT,25,Low Risk,1
WaterNowInc_20191120_10-Q_EX-10.12_11900227_EX-10.12_Distributor Agreement.pdf,EXCLUSIVE DISTRIBUTOR AGREEMENT,25,Low Risk,1
GridironBionutrientsInc_20171206_8-K_EX-10.2_10972556_EX-10.2_Endorsement Agreement.pdf,ENDORSEMENT AGREEMENT ADDENDUM I,0,Low Risk,0
EcoScienceSolutionsInc_20171117_8-K_EX-10.1_10956472_EX-10.1_Endorsement Agreement.pdf,ENDORSEMENT AGREEMENT,0,Low Risk,0
NakedBrandGroupInc_20150731_POS AM (on S-1)_EX-10.75_9196027_EX-10.75_Endorsement Agreement.pdf,COLLABORATION & ENDORSEMENT AGREEMENT,61,High Risk,3
RgcResourcesInc_20151216_8-K_EX-10.3_9372751_EX-10.3_Franchise Agreement.pdf,GAS FRANCHISE AGREEMENT,0,Low Risk,0
SimplicityEsportsGamingCompany_20181130_8-K_EX-10.1_11444071_EX-10.1_Franchise Agreement.pdf,MASTER FRANCHISE AGREEMENT,25,Low Risk,1
Freecook_20180605_S-1_EX-10.3_11233807_EX-10.3_Hosting Agreement.pdf,"Website Design, Development and Hosting Agreement",0,Low Risk,0
PareteumCorp_20081001_8-K_EX-99.1_2654808_EX-99.1_Hosting Agreement.pdf,MOBILE VIRTUALNETWORK ENABLER HOSTING AGREEMENT,10,Low Risk,1
VitalibisInc_20180316_8-K_EX-10.2_11100168_EX-10.2_Hosting Agreement.pdf,SERVICES AND HOSTING AGREEMENT,10,Low Risk,1
QuantumGroupIncFl_20090120_8-K_EX-99.2_3672910_EX-99.2_Hosting Agreement.pdf,e-business Hosting Agreement,0,Low Risk,0
CerenceInc_20191002_8-K_EX-10.4_11827494_EX-10.4_Intellectual Property Agreement.pdf,"INTELLECTUAL PROPERTY AGREEMENT, d",0,Low Risk,0
GarrettMotionInc_20181001_8-K_EX-2.4_11364532_EX-2.4_Intellectual Property Agreement.pdf,"INTELLECTUAL PROPERTY AGREEMENT, d",0,Low Risk,0
RareElementResourcesLtd_20171019_SC 13D_EX-99.4_10897534_EX-99.4_Intellectual Property Agreement.pdf,INTELLECTUAL PROPERTY RIGHTS AGREEMENT,25,Low Risk,1
ArtaraTherapeuticsInc_20200110_8-K_EX-10.5_11943350_EX-10.5_License Agreement.pdf,SPONSORED RESEARCH AND LICENSE AGREEMENT,43,Moderate Risk,2
GpaqAcquisitionHoldingsInc_20200123_S-4A_EX-10.6_11951677_EX-10.6_License Agreement.pdf,MEDIA LICENSE AGREEMENT,43,Moderate Risk,2
CytodynInc_20200109_10-Q_EX-10.5_11941634_EX-10.5_License Agreement.pdf,COMMERCIALIZATION AND LICENSE AGREEMENT,43,Moderate Risk,2
VirtuosoSurgicalInc_20191227_1-A_EX1A-6 MAT CTRCT_11933379_EX1A-6 MAT CTRCT_License Agreement.pdf,NON-EXCLUSIVE LICENSE AGREEMENT- FOR SALES,0,Low Risk,0
AtnInternationalInc_20191108_10-Q_EX-10.1_11878541_EX-10.1_Maintenance Agreement.pdf,Network Build and Maintenance Agreement ,18,Low Risk,1
BloomEnergyCorp_20180321_DRSA (on S-1)_EX-10_11240356_EX-10_Maintenance Agreement.pdf,MASTER OPERATION AND MAINTENANCE AGREEMENT,18,Low Risk,1
HerImports_20161018_8-KA_EX-10.14_9765707_EX-10.14_Maintenance Agreement.pdf,SOFTWARE MAINTENANCE AGREEMENT,0,Low Risk,0
InmodeLtd_20190729_F-1A_EX-10.9_11743243_EX-10.9_Manufacturing Agreement.pdf,TURN - KEY MANUFACTURING AGREEMENT,28,Moderate Risk,2
NeuroboPharmaceuticalsInc_20190903_S-4_EX-10.36_11802165_EX-10.36_Manufacturing Agreement_ Supply Agreement.pdf,MANUFACTURING AND SUPPLY AGREEMENT (DA-9801 Licensed Products),0,Low Risk,0
KitovPharmaLtd_20190326_20-F_EX-4.15_11584449_EX-4.15_Manufacturing Agreement.pdf,PRODUCT MANUFACTURING AGREEMENT,43,Moderate Risk,2
UpjohnInc_20200121_10-12G_EX-2.6_11948692_EX-2.6_Manufacturing Agreement_ Supply Agreement.pdf,MANUFACTURING AND SUPPLY AGREEMENT,53,High Risk,3
CcRealEstateIncomeFundadv_20181205_POS 8C_EX-99.(H)(3)_11447739_EX-99.(H)(3)_Marketing Agreement.pdf,WHOLESALE MARKETING AGREEMENT,0,Low Risk,0
EmmisCommunicationsCorp_20191125_8-K_EX-10.6_11906433_EX-10.6_Marketing Agreement.pdf,LOCAL PROGRAMMING AND MARKETING AGREEMENT (WQHT HD2),0,Low Risk,0
TodosMedicalLtd_20190328_20-F_EX-4.10_11587157_EX-4.10_Marketing Agreement_ Reseller Agreement.pdf,MARKETING AND RESELLER AGREEMENT,43,Moderate Risk,2
VertexEnergyInc_20200113_8-K_EX-10.1_11943624_EX-10.1_Marketing Agreement.pdf,JOINT SUPPLY AND MARKETING AGREEMENT,43,Moderate Risk,2
XpresspaGroupInc_20190401_10-K_EX-10.28_11599457_EX-10.28_Marketing Agreement.pdf,PRODUCT SALE AND MARKETING AGREEMENT,43,Moderate Risk,2
FerroglobePlc_20150624_F-4A_EX-10.20_9154746_EX-10.20_Outsourcing Agreement.pdf,OUTSOURCING AGREEMENT,0,Low Risk,0
ImperialGardenResortInc_20161028_DRS (on F-1)_EX-10.13_9963189_EX-10.13_Outsourcing Agreement.pdf,Outsourcing Contract on Development of Miaoli Royal Resort Hotel,0,Low Risk,0
ParatekPharmaceuticalsInc_20170505_10-KA_EX-10.29_10323872_EX-10.29_Outsourcing Agreement.pdf,Outsourcing Agreement,18,Low Risk,1
PhotronicsInc_20171219_10-QA_EX-10.28_10982650_EX-10.28_Outsourcing Agreement.pdf,OUTSOURCING AGREEMENT,0,Low Risk,0
ExactSciencesCorp_20180822_8-K_EX-10.1_11331629_EX-10.1_Promotion Agreement.pdf,COLOGUARD® PROMOTION AGREEMENT,43,Moderate Risk,2
DovaPharmaceuticalsInc_20181108_10-Q_EX-10.2_11414857_EX-10.2_Promotion Agreement.pdf,CO-PROMOTION AGREEMENT,35,Moderate Risk,2
VnueInc_20150914_8-K_EX-10.1_9259571_EX-10.1_Promotion Agreement.pdf,PROMOTION AGREEMENT,0,Low Risk,0
SigaTechnologiesInc_20190603_8-K_EX-10.1_11695818_EX-10.1_Promotion Agreement.pdf,PROMOTION AGREEMENT,43,Moderate Risk,2
BravatekSolutionsInc_20170418_8-K_EX-10.1_10205739_EX-10.1_Reseller Agreement.pdf,  RESELLER AGREEMENT,43,Moderate Risk,2
HealthcareIntegratedTechnologiesInc_20190812_8-K_EX-10.1_11776966_EX-10.1_Reseller Agreement.pdf,WALABOT-HOME RESELLER AGREEMENT,18,Low Risk,1
EhaveInc_20190515_20-F_EX-4.44_11678816_EX-4.44_License Agreement_ Reseller Agreement.pdf,LICENSE AND RESELLER AGREEMENT,43,Moderate Risk,2
SalesforcecomInc_20171122_10-Q_EX-10.1_10961535_EX-10.1_Reseller Agreement.pdf,FORM OF SUB-RESELLER AGREEMENT,0,Low Risk,0
IpassInc_20181203_8-K_EX-99.1_11445874_EX-99.1_Reseller Agreement.pdf,CHANNEL PARTNER RESELLER AGREEMENT,43,Moderate Risk,2
GpaqAcquisitionHoldingsInc_20200123_S-4A_EX-10.8_11951679_EX-10.8_Service Agreement.pdf,SPONSORSHIP AND SERVICES AGREEMENT,25,Low Risk,1
IntegrityFunds_20200121_485BPOS_EX-99.E UNDR CONTR_11948727_EX-99.E UNDR CONTR_Service Agreement.pdf,DISTRIBUTION AND SERVICES AGREEMENT,0,Low Risk,0
ReynoldsConsumerProductsInc_20200121_S-1A_EX-10.22_11948918_EX-10.22_Service Agreement.pdf,TRANSITION SERVICES AGREEMENT,0,Low Risk,0
VerizonAbsLlc_20200123_8-K_EX-10.4_11952335_EX-10.4_Service Agreement.pdf,"TRANSFER AND SERVICING AGREEMENT, d",18,Low Risk,1
ArcGroupInc_20171211_8-K_EX-10.1_10976103_EX-10.1_Sponsorship Agreement.pdf,JACKSONVILLE JAGUARS SPONSORSHIP AGREEMENT,0,Low Risk,0
AlliedEsportsEntertainmentInc_20190815_8-K_EX-10.34_11788308_EX-10.34_Sponsorship Agreement.pdf,EVENT SPONSORSHIP AGREEMENT,25,Low Risk,1
EcoScienceSolutionsInc_20180406_8-K_EX-10.1_11135398_EX-10.1_Sponsorship Agreement.pdf,SPONSORSHIP AGREEMENT,0,Low Risk,0
AgapeAtpCorp_20191202_10-KA_EX-10.1_11911128_EX-10.1_Supply Agreement.pdf,ODM SUPPLY AGREEMENT,25,Low Risk,1
FreezeTagInc_20180411_8-K_EX-10.1_11139603_EX-10.1_Sponsorship Agreement.pdf,Corporate Sponsorship Agreement,0,Low Risk,0
LohaCompanyltd_20191209_F-1_EX-10.16_11917878_EX-10.16_Supply Agreement.pdf,SUPPLY CONTRACT,0,Low Risk,0
ReynoldsConsumerProductsInc_20191115_S-1_EX-10.18_11896469_EX-10.18_Supply Agreement.pdf,MASTER SUPPLY AGREEMENT,0,Low Risk,0
WestPharmaceuticalServicesInc_20200116_8-K_EX-10.1_11947529_EX-10.1_Supply Agreement.pdf,GLOBAL MASTER SUPPLY AGREEMENT,0,Low Risk,0
HertzGroupRealtyTrustInc_20190920_S-11A_EX-10.8_11816941_EX-10.8_Trademark License Agreement.pdf,FORM OF TRADEMARK LICENSE AGREEMENT,0,Low Risk,0
ArconicRolledProductsCorp_20191217_10-12B_EX-2.7_11923804_EX-2.7_Trademark License Agreement.pdf,FORM OF TRADEMARK LICENSE AGREEMENT,0,Low Risk,0
MorganStanleyDirectLendingFund_20191119_10-12GA_EX-10.5_11898508_EX-10.5_Trademark License Agreement.pdf,TRADEMARK LICENSE AGREEMENT,0,Low Risk,0
NmfSlfIInc_20200115_10-12GA_EX-10.5_11946987_EX-10.5_Trademark License Agreement.pdf,TRADEMARK LICENSE AGREEMENT,18,Low Risk,1
PalmerSquareCapitalBdcInc_20200116_10-12GA_EX-10.6_11949289_EX-10.6_Trademark License Agreement.pdf,TRADEMARK LICENSE AGREEMENT,18,Low Risk,1
PenntexMidstreamPartnersLp_20150416_S-1A_EX-10.4_9042833_EX-10.4_Transportation Agreement.pdf,GAS TRANSPORTATION AGREEMENT,25,Low Risk,1
TcPipelinesLp_20160226_10-K_EX-99.12_9454048_EX-99.12_Transportation Agreement.pdf,TRANSPORTATION SERVICE AGREEMENT Contract Identification FT18150,0,Low Risk,0
RangeResourcesLouisianaInc_20150417_8-K_EX-10.5_9045501_EX-10.5_Transportation Agreement.pdf,TRANSPORTATION SERVICES AGREEMENT,0,Low Risk,0
ZtoExpressCaymanInc_20160930_F-1_EX-10.10_9752871_EX-10.10_Transportation Agreement.pdf,Road Transportation Agreement,0,Low Risk,0
AudibleInc_20001113_10-Q_EX-10.32_2599586_EX-10.32_Co-Branding Agreement_ Marketing Agreement_ Investment Distribution Agreement.pdf,"CO-BRANDING, MARKETING AND DISTRIBUTION AGREEMENT",43,Moderate Risk,2
2ThemartComInc_19990826_10-12G_EX-10.10_6700288_EX-10.10_Co-Branding Agreement_ Agency Agreement.pdf,CO-BRANDING AND ADVERTISING AGREEMENT,18,Low Risk,1
EmbarkComInc_19991008_S-1A_EX-10.10_6487661_EX-10.10_Co-Branding Agreement.pdf,CO-BRANDING AGREEMENT,25,Low Risk,1
HealthcentralCom_19991108_S-1A_EX-10.27_6623292_EX-10.27_Co-Branding Agreement.pdf,CO-BRANDING CONTENT AGREEMENT,25,Low Risk,1
ImpresseCorp_20000322_S-1A_EX-10.11_5199234_EX-10.11_Co-Branding Agreement.pdf,CO-BRANDING AGREEMENT,18,Low Risk,1
EbixInc_20010515_10-Q_EX-10.3_4049767_EX-10.3_Co-Branding Agreement.pdf,CO-BRANDING AGREEMENT,25,Low Risk,1
InvendaCorp_20000828_S-1A_EX-10.2_2588206_EX-10.2_Co-Branding Agreement.pdf,CO-BRANDING AGREEMENT,28,Moderate Risk,2
MphaseTechnologiesInc_20030911_10-K_EX-10.15_1560667_EX-10.15_Co-Branding Agreement.pdf,CO-BRANDING AGREEMENT,0,Low Risk,0
LeadersonlineInc_20000427_S-1A_EX-10.8_4991089_EX-10.8_Co-Branding Agreement.pdf,CO-BRANDING AGREEMENT,0,Low Risk,0
NeoformaInc_19991202_S-1A_EX-10.26_5224521_EX-10.26_Co-Branding Agreement.pdf,CO-BRANDING AGREEMENT,43,Moderate Risk,2
PaperexchangeComInc_20000322_S-1A_EX-10.4_5202103_EX-10.4_Co-Branding Agreement.pdf,CO-BRANDING AGREEMENT,43,Moderate Risk,2
RaeSystemsInc_20001114_10-Q_EX-10.57_2631790_EX-10.57_Co-Branding Agreement.pdf,CO-BRANDING AGREEMENT                                      (FORM),0,Low Risk,0
RandWorldwideInc_20010402_8-KA_EX-10.2_2102464_EX-10.2_Co-Branding Agreement.pdf,CO-BRANDING AGREEMENT,10,Low Risk,1
TheglobeComInc_19990503_S-1A_EX-10.20_5416126_EX-10.20_Co-Branding Agreement.pdf,CO-BRANDING Agreement,18,Low Risk,1
StampscomInc_20001114_10-Q_EX-10.47_2631630_EX-10.47_Co-Branding Agreement.pdf,MANIFEST SYSTEM SERVICES AND CO-BRANDING AGREEMENT,43,Moderate Risk,2
CreditcardscomInc_20070810_S-1_EX-10.33_362297_EX-10.33_Affiliate Agreement.pdf,CHASE AFFILIATE AGREEMENT,0,Low Risk,0
DigitalCinemaDestinationsCorp_20111220_S-1_EX-10.10_7346719_EX-10.10_Affiliate Agreement.pdf,NETWORK AFFILIATE AGREEMENT,63,High Risk,4
LinkPlusCorp_20050802_8-K_EX-10_3240252_EX-10_Affiliate Agreement.pdf,AFFILIATE AGREEMENT,25,Low Risk,1
SouthernStarEnergyInc_20051202_SB-2A_EX-9_801890_EX-9_Affiliate Agreement.pdf,Affiliate Program / Premium Affiliate Management General Terms and Conditions,0,Low Risk,0
SteelVaultCorp_20081224_10-K_EX-10.16_3074935_EX-10.16_Affiliate Agreement.pdf,MARKETING AFFILIATE AGREEMENT,10,Low Risk,1
UnionDentalHoldingsInc_20050204_8-KA_EX-10_3345577_EX-10_Affiliate Agreement.pdf,BUSINESS AFFILIATE AGREEMENT,0,Low Risk,0
TubeMediaCorp_20060310_8-K_EX-10.1_513921_EX-10.1_Affiliate Agreement.pdf,CHARTER AFFILIATE AFFILIATION AGREEMENT,43,Moderate Risk,2
UsioInc_20040428_SB-2_EX-10.11_1723988_EX-10.11_Affiliate Agreement 2.pdf,AFFILIATE OFFICE AGREEMENT,53,High Risk,3
BizzingoInc_20120322_8-K_EX-10.17_7504499_EX-10.17_Endorsement Agreement.pdf,CELEBRITY ENDORSEMENT AGREEMENT,43,Moderate Risk,2
BerkshireHillsBancorpInc_20120809_10-Q_EX-10.16_7708169_EX-10.16_Endorsement Agreement.pdf,ENDORSEMENT AGREEMENT,43,Moderate Risk,2
GridironBionutrientsInc_20171206_8-K_EX-10.1_10972555_EX-10.1_Endorsement Agreement.pdf,ENDORSEMENT AGREEMENT,43,Moderate Risk,2
LegacyEducationAllianceInc_20141110_8-K_EX-10.9_8828866_EX-10.9_Endorsement Agreement.pdf,TALENT ENDORSEMENT AGREEMENT,18,Low Risk,1
LifewayFoodsInc_20160316_10-K_EX-10.24_9489766_EX-10.24_Endorsement Agreement.pdf,ENDORSEMENT AGREEMENT,18,Low Risk,1
PerformanceSportsBrandsInc_20110909_S-1_EX-10.10_7220214_EX-10.10_Endorsement Agreement.pdf,ENDORSEMENT AGREEMENT,43,Moderate Risk,2
