filename,document_name,parties,agreement_date,effective_date,expiration_date,renewal_term,notice_period_to_terminate_renewal,governing_law,has_renewal_term,has_notice_period_to_terminate_renewal,has_expiration_date,has_effective_date,has_governing_law,non_compete,exclusivity,no_solicit_of_customers,no_solicit_of_employees,termination_for_convenience,change_of_control,anti_assignment,revenue_profit_sharing,price_restrictions,minimum_commitment,volume_restriction,ip_ownership_assignment,joint_ip_ownership,license_grant,unlimited_all_you_can_eat_license,irrevocable_or_perpetual_license,post_termination_services,audit_rights,uncapped_liability,cap_on_liability,liquidated_damages,warranty_duration,insurance
CybergyHoldingsInc_20140520_10-Q_EX-10.27_8605784_EX-10.27_Affiliate Agreement.pdf,MARKETING AFFILIATE AGREEMENT,"Birch First Global Investments Inc. (""Company""); Mount Kowledge Holdings Inc. (""Marketing Affiliate"", ""MA"")",5/8/14,,12/31/14,successive 1 year,30 days,Nevada,True,True,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False,True,False
EuromediaHoldingsCorp_20070215_10SB12G_EX-10.B(01)_525118_EX-10.B(01)_Content License Agreement.pdf,VIDEO-ON-DEMAND CONTENT LICENSE AGREEMENT,"Rogers Cable Communications Inc. (""Rogers""); EuroMedia Holdings Corp. (""Licensor"")",7/11/06,7/11/06,6/30/10,2 years,60 days,"Ontario, Canada",True,True,True,True,True,False,False,False,False,True,False,True,True,False,True,False,False,False,True,True,False,False,True,True,True,False,False,False
FulucaiProductionsLtd_20131223_10-Q_EX-10.9_8368347_EX-10.9_Content License Agreement.pdf,CONTENT DISTRIBUTION AND LICENSE AGREEMENT,"CONVERGTV, INC. (“ConvergTV”); Fulucai Productions Ltd. (""Producer"")",11/15/12,11/15/12,,"perpetual, 11/15/2014",,Florida,True,False,False,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False
GopageCorp_20140221_10-K_EX-10.1_8432966_EX-10.1_Content License Agreement.pdf,WEBSITE CONTENT LICENSE AGREEMENT,"PSiTech Corporation (""Licensor""); Empirical Ventures, Inc (""Licensee"")",2/10/14,2/10/14,2/10/19,3 years,90 days,Nevada,True,True,True,True,True,False,True,False,False,False,True,True,True,False,False,False,False,False,True,False,False,False,True,True,True,False,False,False
IdeanomicsInc_20160330_10-K_EX-10.26_9512211_EX-10.26_Content License Agreement.pdf,CONTENT LICENSE AGREEMENT,"Beijing Sun Seven Stars Culture Development Limited (""Licensor""); YOU ON DEMAND HOLDINGS, INC (""Licensee"")",12/21/15,12/21/15,12/21/35,,,New York,False,False,True,True,True,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,True,False,True,True,True,False,False,False
DeltathreeInc_19991102_S-1A_EX-10.19_6227850_EX-10.19_Co-Branding Agreement_ Service Agreement.pdf,CO-BRANDING AND SERVICES AGREEMENT,"RSL COM PrimeCall, Inc. (""PrimeCall""); deltathree.com, Inc. (formerly known as Delta Three, Inc.) (""DeltaThree"")",10/1/99,10/1/99,10/1/02,,,New York,False,False,True,True,True,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
EdietsComInc_20001030_10QSB_EX-10.4_2606646_EX-10.4_Co-Branding Agreement.pdf,CO-BRANDING AGREEMENT,"WOMEN.COM NETWORKS, INC. (""Women.com""); EDIETS.COM, INC. (""eDiets"")",5/22/00,5/22/00,5/22/02,successive 1 year,60 days,California,True,True,True,True,True,True,True,False,False,False,True,True,False,True,True,False,False,False,True,False,False,False,False,True,True,False,False,False
IntegrityMediaInc_20010329_10-K405_EX-10.17_2373875_EX-10.17_Co-Branding Agreement.pdf,PRODUCT DEVELOPMENT AND CO-BRANDING AGREEMENT,"INTEGRITY INCORPORATED (""Integrity""); TIME LIFE, INC. d/b/a Time Life Music (""TL"")",1/10/00,,12/31/04,,,Tennessee,False,False,True,False,True,False,True,False,False,False,False,True,True,False,True,True,False,True,True,False,False,False,True,False,False,False,False,False
MusclepharmCorp_20170208_10-KA_EX-10.38_9893581_EX-10.38_Co-Branding Agreement.pdf,ENDORSEMENT LICENSING AND CO-BRANDING AGREEMENT,"Marine MP, LLC (“Lender”); Arnold Schwarzenegger (“Endorser”); Fitness Publications, Inc. (“Fitness”); Lender, Endorser and Fitness (“AS Parties”);  MusclePharm Corporation (""MusclePharm"" or ""Company"")",7/26/13,7/26/13,7/22/16,7/22/2019; 7/22/2022,,California,True,False,True,True,True,True,True,False,False,False,True,True,True,False,True,True,True,False,True,False,False,True,True,False,True,False,False,True
TomOnlineInc_20060501_20-F_EX-4.46_749700_EX-4.46_Co-Branding Agreement.pdf,CO-BRANDING AGREEMENT,"Skype Communications, S.A. (""Skype""); Skype Technologies, S.A. (""Skype Holding""); TOM Online (BVI) limited(""Online BVI""); TOM Online Inc. (""Tom Holding""); Tel Online Limited (""Company""). Skype, Online BVI and the Company (“Party” and collectively as “Parties.”); Skype, Online BVI, the Company, Skype Holding and Tom Holding (“party to this Agreement” and collectively as “parties to this Agreement.”)",8/22/05,8/22/05,8/22/10,3 years,60 days,"England, United Kingdom; Wales, United Kingdom",True,True,True,True,True,True,False,False,False,False,True,True,True,False,False,False,True,True,True,False,False,True,True,True,True,False,False,False
