filename,clause_name,risk_domain,clause_role,severity,risk_weight,business_description,recommendation
EuromediaHoldingsCorp_20070215_10SB12G_EX-10.B(01)_525118_EX-10.B(01)_Content License Agreement.pdf,Unlimited/All-You-Can-Eat-License,IP Risk,Risk if Present,High,18,Grants broad or unlimited usage rights.,Review broad license grants and usage limitations.
FulucaiProductionsLtd_20131223_10-Q_EX-10.9_8368347_EX-10.9_Content License Agreement.pdf,Exclusivity,Competition Risk,Risk if Present,Critical,25,Creates exclusive dealing obligations that may limit business flexibility.,Review exclusivity obligations and assess whether they restrict future business opportunities.
FulucaiProductionsLtd_20131223_10-Q_EX-10.9_8368347_EX-10.9_Content License Agreement.pdf,Unlimited/All-You-Can-Eat-License,IP Risk,Risk if Present,High,18,Grants broad or unlimited usage rights.,Review broad license grants and usage limitations.
GopageCorp_20140221_10-K_EX-10.1_8432966_EX-10.1_Content License Agreement.pdf,Exclusivity,Competition Risk,Risk if Present,Critical,25,Creates exclusive dealing obligations that may limit business flexibility.,Review exclusivity obligations and assess whether they restrict future business opportunities.
EdietsComInc_20001030_10QSB_EX-10.4_2606646_EX-10.4_Co-Branding Agreement.pdf,Exclusivity,Competition Risk,Risk if Present,Critical,25,Creates exclusive dealing obligations that may limit business flexibility.,Review exclusivity obligations and assess whether they restrict future business opportunities.
IntegrityMediaInc_20010329_10-K405_EX-10.17_2373875_EX-10.17_Co-Branding Agreement.pdf,Exclusivity,Competition Risk,Risk if Present,Critical,25,Creates exclusive dealing obligations that may limit business flexibility.,Review exclusivity obligations and assess whether they restrict future business opportunities.
MusclepharmCorp_20170208_10-KA_EX-10.38_9893581_EX-10.38_Co-Branding Agreement.pdf,Exclusivity,Competition Risk,Risk if Present,Critical,25,Creates exclusive dealing obligations that may limit business flexibility.,Review exclusivity obligations and assess whether they restrict future business opportunities.
MusclepharmCorp_20170208_10-KA_EX-10.38_9893581_EX-10.38_Co-Branding Agreement.pdf,Post-Termination Services,Lifecycle Risk,Risk if Present,High,18,Creates obligations that continue after contract termination.,Review post-termination obligations and estimate operational burden.
TomOnlineInc_20060501_20-F_EX-4.46_749700_EX-4.46_Co-Branding Agreement.pdf,Post-Termination Services,Lifecycle Risk,Risk if Present,High,18,Creates obligations that continue after contract termination.,Review post-termination obligations and estimate operational burden.
ConformisInc_20191101_10-Q_EX-10.6_11861402_EX-10.6_Development Agreement.pdf,Exclusivity,Competition Risk,Risk if Present,Critical,25,Creates exclusive dealing obligations that may limit business flexibility.,Review exclusivity obligations and assess whether they restrict future business opportunities.
EtonPharmaceuticalsInc_20191114_10-Q_EX-10.1_11893941_EX-10.1_Development Agreement.pdf,Exclusivity,Competition Risk,Risk if Present,Critical,25,Creates exclusive dealing obligations that may limit business flexibility.,Review exclusivity obligations and assess whether they restrict future business opportunities.
EtonPharmaceuticalsInc_20191114_10-Q_EX-10.1_11893941_EX-10.1_Development Agreement.pdf,Post-Termination Services,Lifecycle Risk,Risk if Present,High,18,Creates obligations that continue after contract termination.,Review post-termination obligations and estimate operational burden.
FuelcellEnergyInc_20191106_8-K_EX-10.1_11868007_EX-10.1_Development Agreement.pdf,Post-Termination Services,Lifecycle Risk,Risk if Present,High,18,Creates obligations that continue after contract termination.,Review post-termination obligations and estimate operational burden.
ReedsInc_20191113_10-Q_EX-10.4_11888303_EX-10.4_Development Agreement.pdf,Exclusivity,Competition Risk,Risk if Present,Critical,25,Creates exclusive dealing obligations that may limit business flexibility.,Review exclusivity obligations and assess whether they restrict future business opportunities.
FuseMedicalInc_20190321_10-K_EX-10.43_11575454_EX-10.43_Distributor Agreement.pdf,Post-Termination Services,Lifecycle Risk,Risk if Present,High,18,Creates obligations that continue after contract termination.,Review post-termination obligations and estimate operational burden.
GentechHoldingsInc_20190808_1-A_EX1A-6 MAT CTRCT_11776814_EX1A-6 MAT CTRCT_Distributor Agreement.pdf,Exclusivity,Competition Risk,Risk if Present,Critical,25,Creates exclusive dealing obligations that may limit business flexibility.,Review exclusivity obligations and assess whether they restrict future business opportunities.
GentechHoldingsInc_20190808_1-A_EX1A-6 MAT CTRCT_11776814_EX1A-6 MAT CTRCT_Distributor Agreement.pdf,No-Solicit Of Customers,Competition Risk,Risk if Present,Medium,10,Restricts solicitation of the counterparty’s customers or partners.,Review customer non-solicitation restrictions for scope and duration.
GentechHoldingsInc_20190808_1-A_EX1A-6 MAT CTRCT_11776814_EX1A-6 MAT CTRCT_Distributor Agreement.pdf,Post-Termination Services,Lifecycle Risk,Risk if Present,High,18,Creates obligations that continue after contract termination.,Review post-termination obligations and estimate operational burden.
InnerscopeHearingTechnologiesInc_20181109_8-K_EX-10.6_11419704_EX-10.6_Distributor Agreement.pdf,Exclusivity,Competition Risk,Risk if Present,Critical,25,Creates exclusive dealing obligations that may limit business flexibility.,Review exclusivity obligations and assess whether they restrict future business opportunities.
WaterNowInc_20191120_10-Q_EX-10.12_11900227_EX-10.12_Distributor Agreement.pdf,Exclusivity,Competition Risk,Risk if Present,Critical,25,Creates exclusive dealing obligations that may limit business flexibility.,Review exclusivity obligations and assess whether they restrict future business opportunities.
NakedBrandGroupInc_20150731_POS AM (on S-1)_EX-10.75_9196027_EX-10.75_Endorsement Agreement.pdf,Exclusivity,Competition Risk,Risk if Present,Critical,25,Creates exclusive dealing obligations that may limit business flexibility.,Review exclusivity obligations and assess whether they restrict future business opportunities.
NakedBrandGroupInc_20150731_POS AM (on S-1)_EX-10.75_9196027_EX-10.75_Endorsement Agreement.pdf,Unlimited/All-You-Can-Eat-License,IP Risk,Risk if Present,High,18,Grants broad or unlimited usage rights.,Review broad license grants and usage limitations.
NakedBrandGroupInc_20150731_POS AM (on S-1)_EX-10.75_9196027_EX-10.75_Endorsement Agreement.pdf,Post-Termination Services,Lifecycle Risk,Risk if Present,High,18,Creates obligations that continue after contract termination.,Review post-termination obligations and estimate operational burden.
SimplicityEsportsGamingCompany_20181130_8-K_EX-10.1_11444071_EX-10.1_Franchise Agreement.pdf,Exclusivity,Competition Risk,Risk if Present,Critical,25,Creates exclusive dealing obligations that may limit business flexibility.,Review exclusivity obligations and assess whether they restrict future business opportunities.
PareteumCorp_20081001_8-K_EX-99.1_2654808_EX-99.1_Hosting Agreement.pdf,No-Solicit Of Employees,Competition Risk,Risk if Present,Medium,10,Restricts hiring or solicitation of the counterparty’s employees.,Review employee non-solicitation restrictions for scope and duration.
VitalibisInc_20180316_8-K_EX-10.2_11100168_EX-10.2_Hosting Agreement.pdf,No-Solicit Of Employees,Competition Risk,Risk if Present,Medium,10,Restricts hiring or solicitation of the counterparty’s employees.,Review employee non-solicitation restrictions for scope and duration.
RareElementResourcesLtd_20171019_SC 13D_EX-99.4_10897534_EX-99.4_Intellectual Property Agreement.pdf,Exclusivity,Competition Risk,Risk if Present,Critical,25,Creates exclusive dealing obligations that may limit business flexibility.,Review exclusivity obligations and assess whether they restrict future business opportunities.
ArtaraTherapeuticsInc_20200110_8-K_EX-10.5_11943350_EX-10.5_License Agreement.pdf,Exclusivity,Competition Risk,Risk if Present,Critical,25,Creates exclusive dealing obligations that may limit business flexibility.,Review exclusivity obligations and assess whether they restrict future business opportunities.
ArtaraTherapeuticsInc_20200110_8-K_EX-10.5_11943350_EX-10.5_License Agreement.pdf,Post-Termination Services,Lifecycle Risk,Risk if Present,High,18,Creates obligations that continue after contract termination.,Review post-termination obligations and estimate operational burden.
GpaqAcquisitionHoldingsInc_20200123_S-4A_EX-10.6_11951677_EX-10.6_License Agreement.pdf,Exclusivity,Competition Risk,Risk if Present,Critical,25,Creates exclusive dealing obligations that may limit business flexibility.,Review exclusivity obligations and assess whether they restrict future business opportunities.
GpaqAcquisitionHoldingsInc_20200123_S-4A_EX-10.6_11951677_EX-10.6_License Agreement.pdf,Post-Termination Services,Lifecycle Risk,Risk if Present,High,18,Creates obligations that continue after contract termination.,Review post-termination obligations and estimate operational burden.
CytodynInc_20200109_10-Q_EX-10.5_11941634_EX-10.5_License Agreement.pdf,Exclusivity,Competition Risk,Risk if Present,Critical,25,Creates exclusive dealing obligations that may limit business flexibility.,Review exclusivity obligations and assess whether they restrict future business opportunities.
CytodynInc_20200109_10-Q_EX-10.5_11941634_EX-10.5_License Agreement.pdf,Post-Termination Services,Lifecycle Risk,Risk if Present,High,18,Creates obligations that continue after contract termination.,Review post-termination obligations and estimate operational burden.
AtnInternationalInc_20191108_10-Q_EX-10.1_11878541_EX-10.1_Maintenance Agreement.pdf,Post-Termination Services,Lifecycle Risk,Risk if Present,High,18,Creates obligations that continue after contract termination.,Review post-termination obligations and estimate operational burden.
BloomEnergyCorp_20180321_DRSA (on S-1)_EX-10_11240356_EX-10_Maintenance Agreement.pdf,Post-Termination Services,Lifecycle Risk,Risk if Present,High,18,Creates obligations that continue after contract termination.,Review post-termination obligations and estimate operational burden.
InmodeLtd_20190729_F-1A_EX-10.9_11743243_EX-10.9_Manufacturing Agreement.pdf,No-Solicit Of Employees,Competition Risk,Risk if Present,Medium,10,Restricts hiring or solicitation of the counterparty’s employees.,Review employee non-solicitation restrictions for scope and duration.
InmodeLtd_20190729_F-1A_EX-10.9_11743243_EX-10.9_Manufacturing Agreement.pdf,Post-Termination Services,Lifecycle Risk,Risk if Present,High,18,Creates obligations that continue after contract termination.,Review post-termination obligations and estimate operational burden.
KitovPharmaLtd_20190326_20-F_EX-4.15_11584449_EX-4.15_Manufacturing Agreement.pdf,Exclusivity,Competition Risk,Risk if Present,Critical,25,Creates exclusive dealing obligations that may limit business flexibility.,Review exclusivity obligations and assess whether they restrict future business opportunities.
KitovPharmaLtd_20190326_20-F_EX-4.15_11584449_EX-4.15_Manufacturing Agreement.pdf,Post-Termination Services,Lifecycle Risk,Risk if Present,High,18,Creates obligations that continue after contract termination.,Review post-termination obligations and estimate operational burden.
UpjohnInc_20200121_10-12G_EX-2.6_11948692_EX-2.6_Manufacturing Agreement_ Supply Agreement.pdf,Exclusivity,Competition Risk,Risk if Present,Critical,25,Creates exclusive dealing obligations that may limit business flexibility.,Review exclusivity obligations and assess whether they restrict future business opportunities.
UpjohnInc_20200121_10-12G_EX-2.6_11948692_EX-2.6_Manufacturing Agreement_ Supply Agreement.pdf,No-Solicit Of Employees,Competition Risk,Risk if Present,Medium,10,Restricts hiring or solicitation of the counterparty’s employees.,Review employee non-solicitation restrictions for scope and duration.
UpjohnInc_20200121_10-12G_EX-2.6_11948692_EX-2.6_Manufacturing Agreement_ Supply Agreement.pdf,Post-Termination Services,Lifecycle Risk,Risk if Present,High,18,Creates obligations that continue after contract termination.,Review post-termination obligations and estimate operational burden.
