clause,precision_baseline,recall_baseline,f1_baseline,support_baseline,precision_semantic,recall_semantic,f1_semantic,support_semantic,f1_delta,recall_delta
anti_assignment,0.8765432098765432,0.9466666666666668,0.9102564102564102,75,0.9,0.96,0.9290322580645162,75,0.018775847808105928,0.013333333333333197
audit_rights,0.7419354838709677,0.9583333333333334,0.8363636363636363,48,0.6612903225806451,0.8541666666666666,0.7454545454545455,48,-0.09090909090909083,-0.10416666666666674
cap_on_liability,0.7272727272727273,0.9411764705882352,0.8205128205128205,51,0.7076923076923077,0.9019607843137255,0.7931034482758621,51,-0.027409372236958385,-0.039215686274509665
change_of_control,0.6428571428571429,0.8709677419354839,0.7397260273972602,31,0.5853658536585366,0.7741935483870968,0.6666666666666666,31,-0.0730593607305936,-0.09677419354838712
exclusivity,0.5769230769230769,0.9375,0.7142857142857143,32,0.5777777777777777,0.8125,0.6753246753246753,32,-0.038961038961038974,-0.125
insurance,0.8181818181818182,0.9473684210526316,0.8780487804878049,38,0.5106382978723404,0.631578947368421,0.5647058823529412,38,-0.3133428981348637,-0.3157894736842106
ip_ownership_assignment,0.4571428571428571,0.7619047619047619,0.5714285714285714,21,0.3488372093023256,0.7142857142857143,0.46875,21,-0.1026785714285714,-0.04761904761904756
irrevocable_or_perpetual_license,0.6363636363636364,0.9333333333333332,0.7567567567567568,15,0.3333333333333333,0.6,0.42857142857142855,15,-0.32818532818532825,-0.33333333333333326
joint_ip_ownership,0.4117647058823529,0.7,0.5185185185185185,10,0.25,0.5,0.3333333333333333,10,-0.18518518518518517,-0.19999999999999996
license_grant,0.7894736842105263,0.9,0.8411214953271028,50,0.8148148148148148,0.88,0.8461538461538461,50,0.005032350826743359,-0.020000000000000018
liquidated_damages,0.1111111111111111,0.4285714285714285,0.1764705882352941,7,0.16666666666666666,0.7142857142857143,0.2702702702702703,7,0.09379968203497618,0.2857142857142858
minimum_commitment,0.4807692307692308,0.8333333333333334,0.6097560975609756,30,0.5526315789473685,0.7,0.6176470588235294,30,0.007890961262553842,-0.13333333333333341
no_solicit_of_customers,0.2857142857142857,0.4,0.3333333333333333,5,0.23076923076923078,0.6,0.3333333333333333,5,0.0,0.19999999999999996
no_solicit_of_employees,0.3684210526315789,0.7,0.4827586206896552,10,0.47058823529411764,0.8,0.5925925925925926,10,0.10983397190293737,0.10000000000000009
non_compete,0.59375,0.7916666666666666,0.6785714285714286,24,0.43333333333333335,0.5416666666666666,0.48148148148148145,24,-0.19708994708994715,-0.25
post_termination_services,0.6296296296296297,0.8947368421052632,0.7391304347826086,38,0.5245901639344263,0.8421052631578947,0.6464646464646465,38,-0.09266578831796213,-0.052631578947368474
price_restrictions,0.0,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0
revenue_profit_sharing,0.7021276595744681,0.825,0.7586206896551724,40,0.6923076923076923,0.675,0.6835443037974683,40,-0.07507638585770404,-0.1499999999999999
termination_for_convenience,0.5,0.71875,0.5897435897435898,32,0.6585365853658537,0.84375,0.7397260273972602,32,0.14998243765367048,0.125
uncapped_liability,0.5625,0.9,0.6923076923076923,20,0.4146341463414634,0.85,0.5573770491803278,20,-0.13493064312736447,-0.050000000000000044
unlimited_all_you_can_eat_license,1.0,0.3333333333333333,0.5,3,0.16666666666666666,0.3333333333333333,0.2222222222222222,3,-0.2777777777777778,0.0
volume_restriction,0.5,0.6111111111111112,0.55,18,0.25,0.4444444444444444,0.32,18,-0.23000000000000004,-0.16666666666666674
warranty_duration,0.3684210526315789,0.6363636363636364,0.4666666666666667,11,0.21212121212121213,0.6363636363636364,0.3181818181818182,11,-0.1484848484848485,0.0
