clause,precision,recall,f1,support
anti_assignment,0.9,0.96,0.9290322580645162,75
license_grant,0.8148148148148148,0.88,0.8461538461538461,50
cap_on_liability,0.7076923076923077,0.9019607843137255,0.7931034482758621,51
audit_rights,0.6612903225806451,0.8541666666666666,0.7454545454545455,48
termination_for_convenience,0.6585365853658537,0.84375,0.7397260273972602,32
revenue_profit_sharing,0.6923076923076923,0.675,0.6835443037974683,40
exclusivity,0.5777777777777777,0.8125,0.6753246753246753,32
change_of_control,0.5853658536585366,0.7741935483870968,0.6666666666666666,31
post_termination_services,0.5245901639344263,0.8421052631578947,0.6464646464646465,38
minimum_commitment,0.5526315789473685,0.7,0.6176470588235294,30
no_solicit_of_employees,0.47058823529411764,0.8,0.5925925925925926,10
insurance,0.5106382978723404,0.631578947368421,0.5647058823529412,38
uncapped_liability,0.4146341463414634,0.85,0.5573770491803278,20
non_compete,0.43333333333333335,0.5416666666666666,0.48148148148148145,24
ip_ownership_assignment,0.3488372093023256,0.7142857142857143,0.46875,21
irrevocable_or_perpetual_license,0.3333333333333333,0.6,0.42857142857142855,15
no_solicit_of_customers,0.23076923076923078,0.6,0.3333333333333333,5
joint_ip_ownership,0.25,0.5,0.3333333333333333,10
volume_restriction,0.25,0.4444444444444444,0.32,18
warranty_duration,0.21212121212121213,0.6363636363636364,0.3181818181818182,11
liquidated_damages,0.16666666666666666,0.7142857142857143,0.2702702702702703,7
unlimited_all_you_can_eat_license,0.16666666666666666,0.3333333333333333,0.2222222222222222,3
price_restrictions,0.0,0.0,0.0,1
